Position	Replicate1	Replicate2	Replicate3
255	0.565594697	0.592202665	0.514362427
253	0.744040007	0.829900255	0.77104066
250	1.103942499	1.014567913	0.99433245
247	0.561907179	0.668337295	0.631017364
244	0.394517741	0.372268473	0.292834627
241	0.198651666	0.224958674	0.221038992
238	0.347338859	0.402258017	0.379554149
235	0.23708368	0.232279888	0.230716851
233	0.279722189	0.291313424	0.286309204
230	0.205526989	0.248030244	0.205126919
227	0.382330075	0.451539783	0.430788292
224	0.265739015	0.239283789	0.254482169
221	0.194128292	0.203652138	0.177421647
218	0.717028473	0.676890507	0.700938233
216	0.719132431	0.816779031	0.780964059
213	0.694679893	0.762108814	0.688415632
210	0.552344725	0.604437685	0.518045404
207	0.489791634	0.491982387	0.510514045
204	0.930849268	0.944910528	0.883258653
201	0.78305877	0.757638766	0.618586397
198	0.548294086	0.533361451	0.554321686
196	0.961995444	1.018383657	0.969222251
193	0.99755743	1.084705267	1.049814198
190	0.36529018	0.392012036	0.403593181
187	0.355865075	0.368900517	0.331513515
184	0.396392301	0.373728264	0.349426839
181	0.608038876	0.578593757	0.470439745
178	0.561487839	0.476446819	0.522340367
176	0.594044057	0.476292492	0.528743817
173	0.615976613	0.626666556	0.724938814
170	0.834783616	0.789773231	0.670625952
167	0.802111527	0.851317589	0.85896991
164	1.070181718	0.768069418	0.922350142
161	0.479586767	0.427054531	0.437091709
159	0.836856107	0.837785613	0.651210835
156	0.71555457	0.716919478	0.733474851
153	0.600412581	0.571428865	0.603824679
150	0.552405783	0.553647691	0.500977822
147	0.614645447	0.670435324	0.577406043
144	0.647841766	0.831541683	0.653132959
141	0.68410717	0.765818002	0.627120002
139	0.727824158	0.689880564	0.716305265
136	0.783841933	0.69896513	0.637503984
133	0.798440305	1.003780532	0.752029868
130	0.568207285	0.542497759	0.72428596
127	1.045311444	1.08617054	0.557438944
124	0.778918213	0.628611689	0.618358228
122	0.48546319	0.602586249	0.539873029
119	0.294254227	0.285947726	0.269346763
116	0.281990365	0.323834088	0.303867856
113	0.293577512	0.326016096	0.236005423
110	0.492154737	0.556492625	0.479381544
107	0.309866767	0.321359902	0.323349377
104	0.326266011	0.449715995	0.406159849
102	0.591056203	0.642344107	0.763333806
99	0.474378381	0.573289933	0.523094864
96	0.475882945	0.535207986	0.602250049
93	0.439299732	0.415119209	0.355487777
90	0.290682775	0.361769992	0.299364004
87	0.364219385	0.497089442	0.387264992
84	0.612821843	0.651873232	0.600245027
82	0.584612163	0.554163225	0.637540963
79	0.4543486	0.571145414	0.481791922
76	0.393091397	0.41031644	0.318753018
73	1.012304803	1.027638004	1.047500387
70	0.364984197	0.440176033	0.362010944
67	0.396390414	0.42144936	0.40334284
65	0.300827432	0.337742031	0.292364561
62	0.715254343	0.737453227	0.675154783
59	0.757738757	0.907563193	0.784366879
56	0.619990451	0.64085403	0.563651975
53	0.711850204	0.728108456	0.60345195
50	0.730563357	0.722172419	0.572457883
47	0.813482708	0.787735649	0.644711121
45	0.897564325	0.989449491	0.805396381
42	0.717533531	0.844132859	0.771823413
39	0.859258949	0.900274026	0.94494342
36	0.815933519	0.847417532	0.878891979
33	0.735410556	0.78327854	0.809979951
30	0.831305121	0.863502962	0.915507537
27	0.741975454	0.477956436	0.835694805
